Lake,Year,Ice,Temp
Spirit Lake,1955,154,-9.5
Spirit Lake,1956,145,-6.1
Spirit Lake,1957,132,-5.6
Spirit Lake,1958,130,-9.5
Spirit Lake,1959,150,-5.4
Spirit Lake,1960,128,-6.7
Spirit Lake,1961,135,-9.1
Spirit Lake,1962,114,-8.8
Spirit Lake,1963,125,-6.2
Spirit Lake,1964,126,-9.4
Spirit Lake,1965,109,-7.0
Spirit Lake,1966,119,-8.9
Spirit Lake,1967,119,-8.5
Spirit Lake,1968,133,-9.9
Spirit Lake,1969,122,-10.2
Spirit Lake,1970,141,-10.5
Spirit Lake,1971,130,-10.3
Spirit Lake,1972,112,-8.2
Spirit Lake,1973,117,-8.4
Spirit Lake,1974,143,-8.0
Spirit Lake,1975,122,-4.9
Spirit Lake,1976,138,-10.7
Spirit Lake,1977,135,-12.7
Spirit Lake,1978,152,-14.2
Spirit Lake,1979,128,-7.7
Spirit Lake,1980,102,-6.0
Spirit Lake,1981,121,-11.4
Spirit Lake,1982,124,-5.2
Spirit Lake,1983,145,-9.8
Spirit Lake,1984,112,-9.0
Spirit Lake,1985,135,-9.4
Spirit Lake,1986,113,-3.5
Spirit Lake,1988,132,-7.3
Spirit Lake,1989,116,-6.6
Spirit Lake,1990,121,-8.3
Spirit Lake,1991,144,-4.2
Spirit Lake,1992,141,-9.6
Spirit Lake,1993,127,-11.2
Spirit Lake,1994,107,-6.8
Spirit Lake,1995,134,-7.3
Spirit Lake,1997,126,-4.4
Spirit Lake,1998,96,-5.6
Spirit Lake,1999,81,-4.9
Spirit Lake,2000,147,-11.0
Spirit Lake,2001,103,-3.2
Spirit Lake,2002,111,-7.1
Spirit Lake,2003,113,-7.4
Spirit Lake,2004,106,-5.7
Spirit Lake,2005,126,-6.1
Spirit Lake,2006,75,-6.7
Spirit Lake,2007,140,-10.3
